OBJECTID,2018,2019,2020,2021,2022,2023,2024,2025
1,79606,16110,85106,37654,15127,42980,51730,34590
2,17600,56647,80208,87317,44265,28112,95997,40410
3,81027,38246,12775,89926,28346,64316,92577,68928
4,71308,31621,61174,22429,71981,66880,90872,54209
5,69393,68254,70536,53012,53613,71602,47384,21150
6,49327,41891,24526,81010,68026,49145,71743,46854
7,49088,16682,89714,30023,52214,67253,70310,31942
8,22927,68354,10718,96079,48262,43122,15255,97538
9,10506,23006,61317,65070,15574,22816,19486,83489
10,64622,53354,44002,34701,39607,33467,99352,76140
11,84302,93759,27208,42031,42737,25718,32102,80533
12,54012,43267,61682,25923,52843,44558,98369,87676
13,17922,22986,89167,86221,44315,12581,64289,81058
14,90224,25085,33892,39729,37813,97663,49944,44156
15,29388,39128,48456,82831,48218,47447,25578,23602
16,79497,86354,27316,28642,81898,44481,19615,81949
17,77703,24287,87194,72496,78144,95752,19325,85244
18,16710,93645,17983,30840,63085,58799,33417,69034
19,87315,82223,14933,59914,95673,57531,58090,23622
20,71155,38605,73793,87974,46554,20270,56397,56205
21,42620,49941,18342,93450,85780,60750,88547,35967
